Author_Id,Affiliation,Latitude,Longitude,Year,Author Name,Attended_date
5164,Henry Ford Health,42.36432,-83.0764399,2022,Albert Young,2015
5165,Henry Ford Health,42.36432,-83.0764399,2021,Albert Young,2015
5166,Henry Ford Health,42.36432,-83.0764399,2020,Albert Young,2015
5167,Henry Ford Health,42.36432,-83.0764399,2020,Albert Young,2015
5168,Henry Ford Health,42.36432,-83.0764399,2020,Albert Young,2015
5169,Henry Ford Health,42.36432,-83.0764399,2018,Albert Young,2015
5170,Henry Ford Health,42.36432,-83.0764399,,Albert Young,2015
2258,Universidad Pública de Navarra,42.7954701,-1.6289092,2007,Alberto Labarga,2018
2259,Universidad Pública de Navarra,42.7954701,-1.6289092,2007,Alberto Labarga,2018
2260,Universidad Pública de Navarra,42.7954701,-1.6289092,2012,Alberto Labarga,2018
2261,Universidad Pública de Navarra,42.7954701,-1.6289092,2002,Alberto Labarga,2018
2262,Universidad Pública de Navarra,42.7954701,-1.6289092,2011,Alberto Labarga,2018
2263,Universidad Pública de Navarra,42.7954701,-1.6289092,2004,Alberto Labarga,2018
2264,Universidad Pública de Navarra,42.7954701,-1.6289092,2003,Alberto Labarga,2018
2265,Universidad Pública de Navarra,42.7954701,-1.6289092,2003,Alberto Labarga,2018
2266,Universidad Pública de Navarra,42.7954701,-1.6289092,2001,Alberto Labarga,2018
2267,Universidad Pública de Navarra,42.7954701,-1.6289092,2004,Alberto Labarga,2018
2268,Universidad Pública de Navarra,42.7954701,-1.6289092,2007,Alberto Labarga,2018
2269,Universidad Pública de Navarra,42.7954701,-1.6289092,2007,Alberto Labarga,2018
2270,Universidad Pública de Navarra,42.7954701,-1.6289092,2019,Alberto Labarga,2018
2271,Universidad Pública de Navarra,42.7954701,-1.6289092,2004,Alberto Labarga,2018
2272,Universidad Pública de Navarra,42.7954701,-1.6289092,2008,Alberto Labarga,2018
2273,Universidad Pública de Navarra,42.7954701,-1.6289092,2013,Alberto Labarga,2018
2274,Universidad Pública de Navarra,42.7954701,-1.6289092,2003,Alberto Labarga,2018
2275,Universidad Pública de Navarra,42.7954701,-1.6289092,2008,Alberto Labarga,2018
2276,Universidad Pública de Navarra,42.7954701,-1.6289092,2008,Alberto Labarga,2018
2277,Universidad Pública de Navarra,42.7954701,-1.6289092,2010,Alberto Labarga,2018
2278,Universidad Pública de Navarra,42.7954701,-1.6289092,2018,Alberto Labarga,2018
2279,Universidad Pública de Navarra,42.7954701,-1.6289092,2018,Alberto Labarga,2018
2280,Universidad Pública de Navarra,42.7954701,-1.6289092,2020,Alberto Labarga,2018
